   "t"	"air_fuel_ratio"	"speed"	"map"	"ego"	"throttle"	"fuel"
   6.0700000000000003e+00	   1.2180952649990836e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999999606115697e-01	   1.9649999999999999e+01	   2.0038313865661621e+00
   6.0800000000000001e+00	   1.2168117902687673e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999999644551907e-01	   1.9600000000000001e+01	   2.0027675628662109e+00
   6.0899999999999999e+00	   1.2155606426649710e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999999678406781e-01	   1.9550000000000001e+01	   2.0016195774078369e+00
   6.1000000000000005e+00	   1.2143416007369428e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999999708288856e-01	   1.9499999999999996e+01	   2.0004098415374756e+00
   6.1100000000000003e+00	   1.2131542180932209e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999999734723288e-01	   1.9449999999999999e+01	   1.9991545677185059e+00
   6.1200000000000001e+00	   1.2119978782433893e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999999758162428e-01	   1.9399999999999999e+01	   1.9978657960891724e+00
   6.1299999999999999e+00	   1.2108718346575628e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999999778995563e-01	   1.9350000000000001e+01	   1.9965518712997437e+00
   6.1400000000000006e+00	   1.2097752551334855e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999999797557393e-01	   1.9299999999999997e+01	   1.9952197074890137e+00
   6.1500000000000004e+00	   1.2087072341621869e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999999814136087e-01	   1.9250000000000000e+01	   1.9938735961914062e+00
   6.1600000000000001e+00	   1.2076668310827714e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999999828979658e-01	   1.9199999999999999e+01	   1.9925169944763184e+00
   6.1699999999999999e+00	   1.2066530794909724e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999999842301912e-01	   1.9149999999999999e+01	   1.9911521673202515e+00
   6.1799999999999997e+00	   1.2056650047747405e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999999854287369e-01	   1.9100000000000001e+01	   1.9897810220718384e+00
   6.1900000000000004e+00	   1.2047016280074429e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999999865095623e-01	   1.9049999999999997e+01	   1.9884049892425537e+00
